,0
0.0,8464.514
0.1,8474.149
0.2,8491.177
0.3,8507.084
0.4,8521.395
0.5,8533.785
0.6,8544.548
0.7,8553.369
0.8,8560.75
0.9,8566.971
1.0,8572.163
1.1,8576.464
1.2,8580.736
1.3,8584.22
1.4,8587.166
1.5,8589.712
1.6,8591.556
1.7,8593.726
1.8,8595.644
1.9,8596.983
2.0,8598.924
