index,time,event
0,41.51859178,1
1,45.6646227,1
2,45.6646227,1
3,48.49819567,1
4,49.58723077,1
5,49.58723077,1
6,50.56540165,1
7,50.56540165,1
8,61.36788424,1
9,61.36788424,1
10,61.36788424,1
11,65.29097643,1
12,65.29097643,1
13,66.26914731,1
14,70.08694271,1
15,70.08694271,1
16,70.08694271,1
17,70.08694271,1
18,72.26089785,1
19,72.26089785,1
20,72.26089785,1
21,72.26089785,1
22,73.23350132,1
23,73.23350132,1
24,73.23350132,1
25,74.31793725,1
26,76.60711371,1
27,76.60711371,1
28,76.60711371,1
29,79.98484113,1
30,81.07387623,1
31,81.07387623,1
32,81.07387623,1
33,82.15879628,1
34,82.15879628,1
35,83.24541075,1
36,83.24541075,1
37,83.24541075,1
38,84.11199125,1
39,84.98244473,1
40,84.98244473,1
41,87.16099904,1
42,90.87059291,1
43,90.87059291,1
44,93.9227475,1
45,95.01154053,1
46,95.01154053,1
47,95.98922729,1
48,96.96933467,1
49,102.6437425,1
50,102.6437425,1
51,200,0
52,200,0
53,200,0
54,200,0
55,200,0
56,200,0
57,200,0
58,200,0
59,200,0
60,200,0
61,200,0
62,200,0
63,200,0
64,200,0
65,200,0
66,200,0
67,200,0
68,200,0
69,200,0
70,200,0
71,200,0
72,200,0
73,200,0
74,200,0
75,200,0
76,200,0
77,200,0
78,200,0
79,200,0
80,200,0
81,200,0
82,200,0
83,200,0
84,200,0
85,200,0
86,200,0
87,200,0
88,200,0
89,200,0
