,0
0.1,7523.969
0.2,7054.415
0.3,6674.722
0.4,6342.435
0.5,6071.587
0.6,5809.905
0.7,5599.646
0.8,5406.77
0.9,5218.848
1.0,5049.872
1.1,4916.725
1.2,4785.743
1.3,4650.709
1.4,4531.817
1.5,4414.877
1.6,4300.053
1.7,4211.17
1.8,4118.683
1.9,4031.625
2.0,3958.501
