,0
0.1,17251792.0
0.2,16960651.2
0.3,16751344.6
0.4,16505698.6
0.5,16251461.4
0.6,16138483.0
0.7,15983410.8
0.8,15760875.2
0.9,15571684.6
1.0,15500364.4
1.1,15374078.8
1.2,15196309.4
1.3,15180217.6
1.4,15086444.4
1.5,15032222.6
1.6,15037068.2
1.7,14929508.0
1.8,14807898.4
1.9,14656496.4
2.0,14713938.0
