,0
0.0,8464.54
0.1,8348.549
0.2,8318.463
0.3,8305.764
0.4,8299.044
0.5,8294.952
0.6,8292.761
0.7,8291.229
0.8,8290.16
0.9,8289.629
1.0,8289.091
1.1,8288.868
1.2,8288.704
1.3,8288.525
1.4,8288.397
1.5,8288.391
1.6,8288.567
1.7,8288.435
1.8,8288.459
1.9,8288.641
2.0,8288.678
