location[0],location[1],source,removal_time
38,54,tc,0
40,43,M,3.5
38,60,tc,20
48,60,M,0.5
36,41,tc,14.5
35,42,M,9.5
54,65,tc,11.5
35,63,tc,0.5
39,42,M,0
37,38,M,0
68,54,tc,0
66,42,M,8
31,42,M,10.5
20,81,M,8
17,69,M,8
61,61,M,0
