location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGFR,IGF1R,AKT,ERK,a_ERK,a_AKT,GSK3b,IRF1,Gal9,pten
49,52,39,quiescent,37,26,14,17,8,1,14,192,1,0.150632,0.206507,0.2266,0.847008,0.845338,7.15,44,0.542681,0.602133,0.678322,0
51,47,40,quiescent,18,36,14,18,8,0,14,192,1,0.150633,0.20654,0.226643,0.847018,0.845345,7.15,44,0.54268,0.602132,0.678317,0
52,46,41,quiescent,48,0,14,16.5,8,2,14,192,1,0.150643,0.206619,0.227249,0.847137,0.845429,7.15,44,0.542701,0.602154,0.678348,0
46,51,42,quiescent,31.5,15,14,14,8,1,14,192,1,0.150623,0.206459,0.226087,0.846904,0.845267,7.15,44,0.542661,0.602112,0.678292,0
53,48,43,quiescent,31,14,14,15.5,8,1,14,192,1,0.150647,0.206636,0.227509,0.847187,0.845465,7.15,44,0.54271,0.602164,0.678363,0
44,51,44,quiescent,56,16,14,18,8,2,14,192,1,0.150629,0.206506,0.226431,0.84697,0.845315,7.15,44,0.542671,0.602122,0.678307,0
45,48,45,quiescent,35,22,14,15.5,8,1,14,192,1,0.150624,0.206513,0.22617,0.846921,0.845279,7.15,44,0.542664,0.602114,0.678295,0
48,47,46,quiescent,36,24,14,19.5,8,1,14,192,1,0.150622,0.206482,0.226018,0.846894,0.845258,7.15,44,0.542659,0.602109,0.678285,0
48,53,47,quiescent,50,4,14,20.5,8,2,14,192,1,0.150636,0.206536,0.226855,0.847058,0.845374,7.15,44,0.54269,0.602143,0.678337,0
52,52,48,quiescent,44,40,14,14.5,8,2,14,192,1,0.150651,0.206638,0.227737,0.847231,0.845496,7.15,44,0.542719,0.602175,0.678381,0
50,52,49,quiescent,29,10,14,15,8,1,14,192,1,0.150637,0.206537,0.226866,0.847061,0.845375,7.15,44,0.54269,0.602143,0.678335,0
