location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGFR,IGF1R,AKT,ERK,a_ERK,a_AKT,GSK3b,IRF1,Gal9,pten
54,51,84,alive,129.5,19,14,18,8,2,14,192,0.00906359,0.0226748,0.203981,0.236098,0.269628,0.883255,7.15,44,0.317691,0.408057,0.235134,1
47,46,89,quiescent,76,8,14,76,8,0,14,192,1,0.0226439,0.203263,0.231858,0.268976,0.882797,7.15,44,0.34045,0.42064,0.297662,1
54,47,90,quiescent,124,8,14,37.5,8,3,14,192,1,0.0226701,0.203628,0.233916,0.269542,0.883003,7.15,44,0.34079,0.420832,0.298094,1
44,51,89,quiescent,138,36,14,98.5,8,2,14,192,1,0.0226535,0.203497,0.23267,0.269182,0.882879,7.15,44,0.340565,0.420705,0.297818,1
53,48,91,quiescent,107.5,23,14,93,8,1,14,192,1,0.0226705,0.203656,0.234002,0.269551,0.883013,7.15,44,0.340776,0.420824,0.298047,1
54,50,92,quiescent,136,32,14,136,8,0,14,192,1,0.0226852,0.203887,0.235275,0.269867,0.883142,7.15,44,0.340922,0.420905,0.29819,1
46,46,93,alive,168,0,14,82.5,8,3,14,192,0.00904988,0.0226405,0.203228,0.231614,0.268901,0.882773,7.15,44,0.340324,0.420566,0.297061,1
44,52,94,quiescent,71,46,14,22,8,1,14,192,1,0.0226579,0.20357,0.233022,0.269278,0.882914,7.15,44,0.340621,0.420736,0.297887,1
54,52,97,alive,166.5,45,14,31,8,4,14,192,0.00907964,0.0227149,0.204146,0.23721,0.270517,0.883325,7.15,44,0.337329,0.418745,0.280806,1
53,47,98,quiescent,73,2,14,53.5,8,1,14,192,1,0.0226688,0.203594,0.23378,0.269515,0.882989,7.15,44,0.340782,0.420828,0.298078,1
44,48,99,quiescent,71,46,14,16.5,8,2,14,192,1,0.0226432,0.203305,0.231866,0.268959,0.882799,7.15,44,0.340442,0.420635,0.297679,1
47,57,100,quiescent,161,34,14,82.5,8,1,14,192,1,0.022695,0.204119,0.236033,0.270082,0.883213,7.15,44,0.341126,0.421023,0.29854,1
44,54,101,quiescent,114.5,37,14,32,8,3,14,192,1,0.0226671,0.203722,0.233764,0.269478,0.882988,7.15,44,0.340744,0.420806,0.298046,1
48,45,104,quiescent,94,44,14,17.5,8,2,14,192,1,0.0226471,0.20326,0.232025,0.269045,0.882813,7.15,44,0.340518,0.420679,0.297762,1
44,49,105,quiescent,111.5,31,14,93.5,8,1,14,192,1,0.022646,0.203363,0.232082,0.269019,0.88282,7.15,44,0.340473,0.420653,0.297713,1
55,47,106,quiescent,87.5,31,14,51,8,1,14,192,1,0.0226723,0.203667,0.234115,0.26959,0.883024,7.15,44,0.340811,0.420844,0.298121,1
48,57,107,quiescent,84.5,25,14,21,8,2,14,192,1,0.0227051,0.204221,0.236807,0.2703,0.883289,7.15,44,0.341279,0.42111,0.298746,1
